#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,C1,C2
m,in,in
213.8172,13.2056,11.7448
213.9696,13.2396,11.6726
214.1220,13.2768,11.7668
214.2744,12.9693,12.2896
214.4268,12.9201,12.1524
214.5792,12.8995,12.0554
214.7316,12.7646,12.1587
214.8840,12.7179,12.2526
215.0364,12.7117,12.3402
215.1888,12.7117,12.3402
215.3412,12.7085,12.3871
215.4936,12.6349,12.3967
215.6460,12.5621,12.7118
215.7984,12.5668,12.7585
215.9508,12.5619,12.7452
216.1032,12.4170,12.6744
216.2556,12.1687,13.3985
216.4080,12.2531,14.6489
216.5604,12.8580,15.2187
216.7128,13.2520,15.2187
216.8652,13.3108,15.2247
217.0176,13.3356,15.2277
217.1700,13.3356,15.2247
217.3224,13.3356,15.2276
217.4748,13.3422,14.5497
217.6272,13.3399,15.2226
217.7796,12.3749,15.2187
217.9320,12.3779,15.2247
218.0844,11.6581,15.2157
218.2368,11.5202,15.2337
218.3892,12.7550,15.2279
218.5416,13.3317,15.2174
218.6940,13.3356,15.2277
218.8464,13.3356,15.2202
218.9988,13.3356,15.2367
219.1512,13.3355,15.2425
219.3036,12.6805,13.4851
219.4560,12.6884,13.9105
219.6084,13.3356,14.0581
219.7608,13.3317,15.2309
219.9132,13.3329,15.2407
220.0656,12.6523,13.7489
220.2180,12.8890,14.5531
220.3704,13.1893,15.1118
220.5228,13.2446,15.1435
220.6752,13.2033,15.1164
220.8276,13.3356,15.2405
220.9800,13.3356,15.2405
221.1324,13.3356,15.2445
221.2848,13.3356,15.2314
