#HOLE:,940A
#LEG:,155
#TOP:,77.419197
#BOTTOM:,227.076004
DEPTH_WMSF,RHOB,PEF,DRHO
m,g/cm3,barns/e-,g/cm3
157.7340,1.9199,2.8640,0.0096
157.8864,1.9188,2.8847,0.0112
158.0388,1.9152,2.8647,0.0088
158.1912,1.9210,2.9205,0.0107
158.3436,1.9178,2.9287,0.0064
158.4960,1.9151,2.9135,0.0070
158.6484,1.9153,2.8491,0.0092
158.8008,1.9192,2.8433,0.0109
158.9532,1.9179,2.7878,0.0086
159.1056,1.9124,2.8690,0.0084
159.2580,1.9037,2.8090,0.0084
159.4104,1.8992,2.7621,0.0082
159.5628,1.9058,2.6743,0.0138
159.7152,1.9187,2.6095,0.0203
159.8676,1.9188,2.7587,0.0220
160.0200,1.9170,2.8416,0.0207
160.1724,1.9203,2.9918,0.0154
160.3248,1.9246,2.9301,0.0083
160.4772,1.9329,2.9157,0.0084
160.6296,1.9296,2.8746,0.0084
160.7820,1.9271,2.8573,0.0080
160.9344,1.9248,2.8707,0.0084
161.0868,1.9192,2.9422,0.0090
161.2392,1.9160,2.9777,0.0098
161.3916,1.9129,2.9523,0.0050
161.5440,1.9220,2.9159,0.0084
161.6964,1.9182,2.9013,0.0080
161.8488,1.9230,2.9032,0.0175
162.0012,1.9241,2.8371,0.0205
162.1536,1.9245,2.9186,0.0238
162.3060,1.9277,2.9560,0.0267
162.4584,1.9164,2.9354,0.0168
162.6108,1.9133,2.6653,0.0087
162.7632,1.8953,2.5585,0.0086
162.9156,1.8703,2.5626,0.0126
163.0680,1.8821,2.8070,0.0339
163.2204,1.9179,2.8962,0.0468
163.3728,1.9348,2.9349,0.0287
163.5252,1.9364,2.8304,0.0117
163.6776,1.9263,2.8387,0.0077
163.8300,1.9204,2.7329,0.0084
163.9824,1.9173,2.7671,0.0079
164.1348,1.9016,2.8554,0.0079
164.2872,1.9289,2.9483,0.0291
164.4396,1.9257,2.9814,0.0280
164.5920,1.9570,2.9236,0.0394
164.7444,1.9292,2.9828,0.0121
164.8968,1.9269,2.9922,0.0081
165.0492,1.9265,3.0714,0.0085
165.2016,1.9291,3.0966,0.0085
165.3540,1.9321,3.0770,0.0082
165.5064,1.9339,3.0089,0.0084
165.6588,1.9364,2.9906,0.0096
165.8112,1.9356,3.0585,0.0083
165.9636,1.9362,3.0337,0.0100
166.1160,1.9287,3.0350,0.0084
166.2684,1.9267,3.0178,0.0083
166.4208,1.9258,3.1049,0.0084
166.5732,1.9312,3.0535,0.0085
166.7256,1.9358,2.9750,0.0084
166.8780,1.9401,2.9249,0.0081
167.0304,1.9390,2.9452,0.0091
167.1828,1.9330,3.0121,0.0092
167.3352,1.9365,2.9329,0.0113
167.4876,1.9267,2.9732,0.0086
167.6400,1.9199,2.9435,0.0086
167.7924,1.9082,3.0299,0.0086
167.9448,1.9165,3.0340,0.0085
168.0972,1.9261,3.0233,0.0090
168.2496,1.9301,2.9774,0.0082
168.4020,1.9204,2.8953,0.0093
168.5544,1.9181,2.8526,0.0083
168.7068,1.9234,2.9634,0.0084
168.8592,1.9368,3.0261,0.0091
169.0116,1.9415,3.0540,0.0071
169.1640,1.9452,2.9491,0.0077
169.3164,1.9419,2.9404,0.0074
169.4688,1.9435,2.9910,0.0082
169.6212,1.9453,3.0142,0.0087
169.7736,1.9441,2.9887,0.0073
169.9260,1.9395,2.9658,0.0068
170.0784,1.9358,3.0495,0.0072
170.2308,1.9433,3.0640,0.0094
170.3832,1.9474,3.1019,0.0091
170.5356,1.9482,3.0700,0.0077
170.6880,1.9449,3.1081,0.0057
170.8404,1.9452,3.0754,0.0076
170.9928,1.9480,2.9986,0.0104
171.1452,1.9465,2.9933,0.0104
171.2976,1.9438,3.0238,0.0086
171.4500,1.9401,3.0079,0.0084
171.6024,1.9392,3.0073,0.0081
171.7548,1.9365,2.9201,0.0079
171.9072,1.9351,2.9969,0.0087
172.0596,1.9365,3.0538,0.0132
172.2120,1.9434,3.0645,0.0207
172.3644,1.9372,3.0615,0.0173
172.5168,1.9398,3.0099,0.0155
172.6692,1.9377,3.0314,0.0108
172.8216,1.9456,3.0047,0.0123
172.9740,1.9370,2.9700,0.0084
173.1264,1.9389,2.9646,0.0098
173.2788,1.9423,3.0081,0.0100
173.4312,1.9405,3.0267,0.0089
173.5836,1.9349,3.0656,0.0083
173.7360,1.9349,3.0440,0.0083
173.8884,1.9433,3.0498,0.0084
174.0408,1.9543,2.8650,0.0084
174.1932,1.9592,2.7836,0.0074
174.3456,1.9372,2.6500,0.0064
174.4980,1.9339,2.8613,0.0182
174.6504,1.9366,2.9210,0.0302
174.8028,1.9643,3.0452,0.0428
174.9552,1.9463,2.9726,0.0166
175.1076,1.9404,2.9919,0.0097
175.2600,1.9413,2.9836,0.0093
175.4124,1.9428,3.0193,0.0090
175.5648,1.9456,2.9342,0.0076
175.7172,1.9453,2.9067,0.0061
175.8696,1.9475,2.8552,0.0081
176.0220,1.9350,2.8922,0.0080
176.1744,1.9229,2.8924,0.0086
176.3268,1.9215,2.9013,0.0131
176.4792,1.9388,2.9075,0.0245
176.6316,1.9485,2.9253,0.0236
176.7840,1.9439,3.0071,0.0167
176.9364,1.9398,3.0110,0.0098
