#HOLE:,940A
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg
95.5548,0.1740,0.2481,0.0829,0.3140,5.1349,20.2911,111.1825,286.4146,175.3096
95.7072,0.1710,0.2497,0.0827,0.3140,5.1308,20.2799,110.4362,285.6395,175.2784
95.8596,0.1674,0.2520,0.0828,0.3139,5.1298,20.2659,109.9343,285.1028,175.2421
96.0120,0.1700,0.2508,0.0828,0.3139,5.1222,20.2469,109.8055,284.9601,175.2276
96.1644,0.1701,0.2508,0.0826,0.3139,5.1282,20.2427,110.1565,285.3008,175.2186
96.3168,0.1675,0.2522,0.0827,0.3139,5.1350,20.2400,109.7585,284.8374,175.1521
96.4692,0.1691,0.2517,0.0825,0.3139,5.1348,20.2288,110.2723,285.3399,175.1423
96.6216,0.1665,0.2531,0.0827,0.3139,5.1308,20.2159,109.7410,284.7897,175.1217
96.7740,0.1489,0.2635,0.0827,0.3139,5.1277,20.2037,106.2381,281.2729,175.0964
96.9264,0.1568,0.2590,0.0822,0.3139,5.1259,20.1946,106.9671,281.9575,175.0543
97.0788,0.1629,0.2552,0.0819,0.3139,5.1264,20.1877,108.4493,283.3893,175.0088
97.2312,0.1652,0.2541,0.0823,0.3139,5.1264,20.1817,109.1598,284.0445,174.9557
97.3836,0.1646,0.2544,0.0822,0.3139,5.1267,20.1771,109.2838,284.1359,174.9236
97.5360,0.1592,0.2576,0.0825,0.3138,5.1256,20.1731,108.3929,283.1966,174.8723
97.6884,0.1662,0.2534,0.0820,0.3138,5.1178,20.1598,108.8708,283.6318,174.8310
97.8408,0.1746,0.2480,0.0820,0.3138,5.1119,20.1524,110.8319,285.5079,174.7518
97.9932,0.1811,0.2430,0.0821,0.3138,5.1040,20.1375,113.0490,287.6547,174.6877
98.1456,0.1670,0.2525,0.0822,0.3137,5.1121,20.1376,111.6169,286.2023,174.6635
98.2980,0.1487,0.2638,0.0820,0.3137,5.1116,20.1330,107.5396,282.0760,174.6019
98.4504,0.1404,0.2683,0.0820,0.3136,5.1091,20.1295,104.9089,279.4016,174.5493
98.6028,0.1372,0.2699,0.0820,0.3136,5.1070,20.1236,104.0984,278.5420,174.4973
98.7552,0.1142,0.2801,0.0821,0.3136,5.0974,20.1110,101.2809,275.6692,174.4317
98.9076,0.0898,0.2889,0.0817,0.3135,5.0910,20.0988,95.9073,270.3382,174.4540
99.0600,0.0698,0.2944,0.0819,0.3135,5.0932,20.0981,91.2282,265.6923,174.4689
99.2124,0.0661,0.2954,0.0817,0.3134,5.0947,20.0966,89.5475,264.0252,174.4759
99.3648,0.0652,0.2950,0.0817,0.3134,5.0894,20.0851,89.1773,263.6809,174.5004
